table	sample_accession	field	old	new	commit	change_type	archive_sample_accession	archive_data_accession	split
environmental	ERS14617140	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617140	ERR10878157	test
environmental	ERS14617141	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617141	ERR10878158	test
environmental	ERS14617142	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617142	ERR10878159	test
environmental	ERS14617143	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617143	ERR10878160	test
environmental	ERS14617144	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617144	ERR10878162	test
environmental	ERS14617145	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617145	ERR10878163	test
environmental	ERS14617146	feature	nan	rock shelter	ff92e881	fill/blank			not_in_v9
environmental	ERS14617147	feature	nan	rock shelter	ff92e881	fill/blank			not_in_v9
environmental	ERS14617135	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617135	ERR10878152	test
environmental	ERS14617136	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617136	ERR10878153	test
environmental	ERS14617137	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617137	ERR10878154	test
environmental	ERS14617138	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617138	ERR10878155	test
environmental	ERS14617139	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617139	ERR10878156	test
environmental	ERS14617140	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617140	ERR10878157	test
environmental	ERS14617141	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617141	ERR10878158	test
environmental	ERS14617142	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617142	ERR10878159	test
environmental	ERS14617143	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617143	ERR10878160	test
environmental	ERS14617144	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617144	ERR10878162	test
environmental	ERS14617145	material	rock shelter	sediment	ff92e881	genuine relabel	ERS14617145	ERR10878163	test
environmental	ERS14617146	material	rock shelter	sediment	ff92e881	genuine relabel			not_in_v9
environmental	ERS14617147	material	rock shelter	sediment	ff92e881	genuine relabel			not_in_v9
